Código Ramo de Atividade;Ordem Ramo de Atividade;Código Ramo de Atividade - Nível 1;Código Ramo de Atividade - Nível 2;Código Ramo de Atividade - Nível 3;Código Ramo de Atividade - Nível 4;Código Ramo de Atividade - Nível 5;Ramo de Atividade - Nível 1;Ramo de Atividade - Nível 2;Ramo de Atividade - Nível 3;Ramo de Atividade - Nível 4;Ramo de Atividade - Nível 5;Ramo de Atividade;Divisão
513;1;4751200;8299707;8299707;8299707;8299707;COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMATICA;SALAS DE ACESSO A INTERNET;SALAS DE ACESSO A INTERNET;SALAS DE ACESSO A INTERNET;SALAS DE ACESSO A INTERNET;VAREJO;COMÉRCIO VAREJISTA
2779;4;4921301;4921302;4922101;4922102;4930202;TRANSPORTE RODOVIARIO COLETIVO DE PASSAGEIROS, COM ITINERARIO FIXO, INTERESTADUAL;TRANSPORTE RODOVIARIO COLETIVO DE PASSAGEIROS, COM ITINERARIO FIXO, INTERMUNICIPAL EM REGIAO METROPOLITANA;TRANSPORTE RODOVIARIO COLETIVO DE PASSAGEIROS, COM ITINERARIO FIXO, INTERMUNICIPAL, EXCETO EM REGIAO METROPOLITANA;TRANSPORTE RODOVIARIO COLETIVO DE PASSAGEIROS, COM ITINERARIO FIXO, MUNICIPAL;TRANSPORTE RODOVIARIO DE CARGA, EXCETO PRODUTOS PERIGOSOS E MUDANCAS, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL;TRANSPORTE;TRANSPORTE TERRESTRE
194;4;1531902;1540800;4712100;4761003;4782201;ACABAMENTO DE CALCADOS DE COURO SOB CONTRATO;COMERCIO VAREJISTA DE ARTIGOS DE PAPELARIA;COMERCIO VAREJISTA DE CALCADOS;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  MINIMERCADOS, MERCEARIAS E ARMAZENS;FABRICACAO DE PARTES PARA CALCADOS, DE QUALQUER MATERIAL;BENS DE CONSUMO;PREPARAÇÃO DE COUROS E FABRICAÇÃO DE ARTEFATOS DE COURO, ARTIGOS PARA VIAGEM E CALÇADOS
34;2;4773300;4789099;9603304;9603304;9603304;COMERCIO VAREJISTA DE ARTIGOS MEDICOS E ORTOPEDICOS;COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE;SERVICOS DE FUNERARIAS;SERVICOS DE FUNERARIAS;SERVICOS DE FUNERARIAS;VAREJO;COMÉRCIO VAREJISTA
2754;1;5611203;8230001;8230001;8230001;8230001;LANCHONETES, CASAS DE CHA, DE SUCOS E SIMILARES;SERVICOS DE ORGANIZACAO DE FEIRAS, CONGRESSOS, EXPOSICOES E FESTAS;SERVICOS DE ORGANIZACAO DE FEIRAS, CONGRESSOS, EXPOSICOES E FESTAS;SERVICOS DE ORGANIZACAO DE FEIRAS, CONGRESSOS, EXPOSICOES E FESTAS;SERVICOS DE ORGANIZACAO DE FEIRAS, CONGRESSOS, EXPOSICOES E FESTAS;SERVIÇOS DE ALOJAMENTO/AL;ALIMENTAÇÃO
2629;1;4789002;8130300;8130300;8130300;8130300;ATIVIDADES PAISAGISTICAS;COMERCIO VAREJISTA DE PLANTAS E FLORES NATURAIS;COMERCIO VAREJISTA DE PLANTAS E FLORES NATURAIS;COMERCIO VAREJISTA DE PLANTAS E FLORES NATURAIS;COMERCIO VAREJISTA DE PLANTAS E FLORES NATURAIS;VAREJO;COMÉRCIO VAREJISTA
960;2;4761003;4789005;5240199;5240199;5240199;ATIVIDADES AUXILIARES DOS TRANSPORTES AEREOS, EXCETO OPERACAO DOS AEROPORTOS E CAMPOS DE ATERRISSAGEM;COMERCIO VAREJISTA DE ARTIGOS DE PAPELARIA;COMERCIO VAREJISTA DE PRODUTOS SANEANTES DOMISSANITARIOS;COMERCIO VAREJISTA DE PRODUTOS SANEANTES DOMISSANITARIOS;COMERCIO VAREJISTA DE PRODUTOS SANEANTES DOMISSANITARIOS;VAREJO;COMÉRCIO VAREJISTA
1676;0;2411300;2411300;2411300;2411300;2411300;PRODUCAO DE FERROGUSA;PRODUCAO DE FERROGUSA;PRODUCAO DE FERROGUSA;PRODUCAO DE FERROGUSA;PRODUCAO DE FERROGUSA;SIDERÚRGICA-METALURGIA;METALURGIA
484;4;4211101;4512902;4530703;4530704;4661300;COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES;COMERCIO A VAREJO DE PECAS E ACESSORIOS USADOS PARA VEICULOS AUTOMOTORES;COMERCIO ATACADISTA DE MAQUINAS, APARELHOS E EQUIPAMENTOS PARA USO AGROPECUARIO, PARTES E PECAS;COMERCIO SOB CONSIGNACAO DE VEICULOS AUTOMOTORES;CONSTRUCAO DE RODOVIAS E FERROVIAS;INDÚSTRIA DA CONSTRUÇÃO;OBRAS DE INFRA-ESTRUTURA
1666;3;0116499;0122900;0141501;0142300;0142300;CULTIVO DE FLORES E PLANTAS ORNAMENTAIS;CULTIVO DE OUTRAS OLEAGINOSAS DE LAVOURA TEMPORARIA NAO ESPECIFICADAS ANTERIORMENTE;PRODUCAO DE MUDAS E OUTRAS FORMAS DE PROPAGACAO VEGETAL, CERTIFICADAS;PRODUCAO DE SEMENTES CERTIFICADAS, EXCETO DE FORRAGEIRAS PARA PASTO;PRODUCAO DE SEMENTES CERTIFICADAS, EXCETO DE FORRAGEIRAS PARA PASTO;PRODUTOS DE AGROPECUÁRIA;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS
5;1;4789099;9329899;9329899;9329899;9329899;COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE;OUTRAS ATIVIDADES DE RECREACAO E LAZER NAO ESPECIFICADAS ANTERIORMENTE;OUTRAS ATIVIDADES DE RECREACAO E LAZER NAO ESPECIFICADAS ANTERIORMENTE;OUTRAS ATIVIDADES DE RECREACAO E LAZER NAO ESPECIFICADAS ANTERIORMENTE;OUTRAS ATIVIDADES DE RECREACAO E LAZER NAO ESPECIFICADAS ANTERIORMENTE;VAREJO;COMÉRCIO VAREJISTA
2336;4;2330301;2330302;4120400;4212000;4299501;CONSTRUCAO DE EDIFICIOS;CONSTRUCAO DE INSTALACOES ESPORTIVAS E RECREATIVAS;CONSTRUCAO DE OBRAS DE ARTE ESPECIAIS;FABRICACAO DE ARTEFATOS DE CIMENTO PARA USO NA CONSTRUCAO;FABRICACAO DE ESTRUTURAS PREMOLDADAS DE CONCRETO ARMADO, EM SERIE E SOB ENCOMENDA;QUÍMICA-PETROQUÍMICA;FABRICAÇÃO DE PRODUTOS DE MINERAIS NÃO-METÁLICOS
2794;3;4399104;4744005;4930201;4930202;4930202;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO NAO ESPECIFICADOS ANTERIORMENTE;SERVICOS DE OPERACAO E FORNECIMENTO DE EQUIPAMENTOS PARA TRANSPORTE E ELEVACAO DE CARGAS E PESSOAS PARA USO EM OBRAS;TRANSPORTE RODOVIARIO DE CARGA, EXCETO PRODUTOS PERIGOSOS E MUDANCAS, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL;TRANSPORTE RODOVIARIO DE CARGA, EXCETO PRODUTOS PERIGOSOS E MUDANCAS, MUNICIPAL;TRANSPORTE RODOVIARIO DE CARGA, EXCETO PRODUTOS PERIGOSOS E MUDANCAS, MUNICIPAL;INDÚSTRIA DA CONSTRUÇÃO;SERVIÇOS ESPECIALIZADOS PARA CONSTRUÇÃO
975;3;4723700;4724500;4729601;4729699;4729699;COMERCIO VAREJISTA DE BEBIDAS;COMERCIO VAREJISTA DE HORTIFRUTIGRANJEIROS;COMERCIO VAREJISTA DE PRODUTOS ALIMENTICIOS EM GERAL OU ESPECIALIZADO EM PRODUTOS ALIMENTICIOS NAO ESPECIFICADOS ANTERIORMENTE;TABACARIA;TABACARIA;VAREJO;COMÉRCIO VAREJISTA
2386;4;6201501;6202300;6209100;6311900;9511800;DESENVOLVIMENTO DE PROGRAMAS DE COMPUTADOR SOB ENCOMENDA;DESENVOLVIMENTO E LICENCIAMENTO DE PROGRAMAS DE COMPUTADOR CUSTOMIZAVEIS;REPARACAO E MANUTENCAO DE COMPUTADORES E DE EQUIPAMENTOS PERIFERICOS;SUPORTE TECNICO, MANUTENCAO E OUTROS SERVICOS EM TECNOLOGIA DA INFORMACAO;TRATAMENTO DE DADOS, PROVEDORES DE SERVICOS DE APLICACAO E SERVICOS DE HOSPEDAGEM NA INTERNET;INDÚSTRIA DIGITAL;ATIVIDADES DOS SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO
976;0;4762800;4762800;4762800;4762800;4762800;COMERCIO VAREJISTA DE DISCOS, CDS, DVDS E FITAS;COMERCIO VAREJISTA DE DISCOS, CDS, DVDS E FITAS;COMERCIO VAREJISTA DE DISCOS, CDS, DVDS E FITAS;COMERCIO VAREJISTA DE DISCOS, CDS, DVDS E FITAS;COMERCIO VAREJISTA DE DISCOS, CDS, DVDS E FITAS;VAREJO;COMÉRCIO VAREJISTA
1357;4;1622699;4322301;4330402;4330404;4399103;FABRICACAO DE OUTROS ARTIGOS DE CARPINTARIA PARA CONSTRUCAO;INSTALACAO DE PORTAS, JANELAS, TETOS, DIVISORIAS E ARMARIOS EMBUTIDOS DE QUALQUER MATERIAL;INSTALACOES HIDRAULICAS, SANITARIAS E DE GAS;OBRAS DE ALVENARIA;SERVICOS DE PINTURA DE EDIFICIOS EM GERAL;BENS DE CONSUMO;FABRICAÇÃO DE PRODUTOS DE MADEIRA
182;1;4924800;4929902;4929902;4929902;4929902;TRANSPORTE ESCOLAR;TRANSPORTE RODOVIARIO COLETIVO DE PASSAGEIROS, SOB REGIME DE FRETAMENTO, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL;TRANSPORTE RODOVIARIO COLETIVO DE PASSAGEIROS, SOB REGIME DE FRETAMENTO, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL;TRANSPORTE RODOVIARIO COLETIVO DE PASSAGEIROS, SOB REGIME DE FRETAMENTO, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL;TRANSPORTE RODOVIARIO COLETIVO DE PASSAGEIROS, SOB REGIME DE FRETAMENTO, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL;TRANSPORTE;TRANSPORTE TERRESTRE
38;1;4744002;4744099;4744099;4744099;4744099;COMERCIO VAREJISTA DE MADEIRA E ARTEFATOS;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL;VAREJO;COMÉRCIO VAREJISTA
538;3;1359600;1412601;1813001;1813099;1813099;CONFECCAO DE PECAS DE VESTUARIO, EXCETO ROUPAS INTIMAS E AS CONFECCIONADAS SOB MEDIDA;FABRICACAO DE OUTROS PRODUTOS TEXTEIS NAO ESPECIFICADOS ANTERIORMENTE;IMPRESSAO DE MATERIAL PARA OUTROS USOS;IMPRESSAO DE MATERIAL PARA USO PUBLICITARIO;IMPRESSAO DE MATERIAL PARA USO PUBLICITARIO;TÊXTEIS;FABRICAÇÃO DE PRODUTOS TÊXTEIS
1454;1;4929902;7911200;7911200;7911200;7911200;AGENCIAS DE VIAGENS;TRANSPORTE RODOVIARIO COLETIVO DE PASSAGEIROS, SOB REGIME DE FRETAMENTO, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL;TRANSPORTE RODOVIARIO COLETIVO DE PASSAGEIROS, SOB REGIME DE FRETAMENTO, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL;TRANSPORTE RODOVIARIO COLETIVO DE PASSAGEIROS, SOB REGIME DE FRETAMENTO, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL;TRANSPORTE RODOVIARIO COLETIVO DE PASSAGEIROS, SOB REGIME DE FRETAMENTO, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL;TRANSPORTE;TRANSPORTE TERRESTRE
2783;2;4617600;4637199;8211300;8211300;8211300;COMERCIO ATACADISTA ESPECIALIZADO EM OUTROS PRODUTOS ALIMENTICIOS NAO ESPECIFICADOS ANTERIORMENTE;REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE PRODUTOS ALIMENTICIOS, BEBIDAS E FUMO;SERVICOS COMBINADOS DE ESCRITORIO E APOIO ADMINISTRATIVO;SERVICOS COMBINADOS DE ESCRITORIO E APOIO ADMINISTRATIVO;SERVICOS COMBINADOS DE ESCRITORIO E APOIO ADMINISTRATIVO;ATACADO;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS
2234;1;9313100;9319199;9319199;9319199;9319199;ATIVIDADES DE CONDICIONAMENTO FISICO;OUTRAS ATIVIDADES ESPORTIVAS NAO ESPECIFICADAS ANTERIORMENTE;OUTRAS ATIVIDADES ESPORTIVAS NAO ESPECIFICADAS ANTERIORMENTE;OUTRAS ATIVIDADES ESPORTIVAS NAO ESPECIFICADAS ANTERIORMENTE;OUTRAS ATIVIDADES ESPORTIVAS NAO ESPECIFICADAS ANTERIORMENTE;SERVIÇOS DIVERSOS;ATIVIDADES ESPORTIVAS E DE RECREAÇÃO E LAZER
893;1;8630503;8640202;8640202;8640202;8640202;ATIVIDADE MEDICA AMBULATORIAL RESTRITA A CONSULTAS;LABORATORIOS CLINICOS;LABORATORIOS CLINICOS;LABORATORIOS CLINICOS;LABORATORIOS CLINICOS;SERVIÇOS DE SAÚDE;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA
2241;2;0810002;2391503;4679602;4679602;4679602;APARELHAMENTO DE PLACAS E EXECUCAO DE TRABALHOS EM MARMORE, GRANITO, ARDOSIA E OUTRAS PEDRAS;COMERCIO ATACADISTA DE MARMORES E GRANITOS;EXTRACAO DE GRANITO E BENEFICIAMENTO ASSOCIADO;EXTRACAO DE GRANITO E BENEFICIAMENTO ASSOCIADO;EXTRACAO DE GRANITO E BENEFICIAMENTO ASSOCIADO;MINERAÇÃO;EXTRAÇÃO DE MINERAIS NÃO-METÁLICOS
94;0;4741500;4741500;4741500;4741500;4741500;COMERCIO VAREJISTA DE TINTAS E MATERIAIS PARA PINTURA;COMERCIO VAREJISTA DE TINTAS E MATERIAIS PARA PINTURA;COMERCIO VAREJISTA DE TINTAS E MATERIAIS PARA PINTURA;COMERCIO VAREJISTA DE TINTAS E MATERIAIS PARA PINTURA;COMERCIO VAREJISTA DE TINTAS E MATERIAIS PARA PINTURA;VAREJO;COMÉRCIO VAREJISTA
2922;4;6190601;9411100;9430800;9493600;9499500;ATIVIDADES ASSOCIATIVAS NAO ESPECIFICADAS ANTERIORMENTE;ATIVIDADES DE ASSOCIACOES DE DEFESA DE DIREITOS SOCIAIS;ATIVIDADES DE ORGANIZACOES ASSOCIATIVAS LIGADAS A CULTURA E A ARTE;ATIVIDADES DE ORGANIZACOES ASSOCIATIVAS PATRONAIS E EMPRESARIAIS;PROVEDORES DE ACESSO AS REDES DE COMUNICACOES;TELECOM;TELECOMUNICAÇÕES
2722;1;6622300;8550302;8550302;8550302;8550302;ATIVIDADES DE APOIO A EDUCACAO, EXCETO CAIXAS ESCOLARES;CORRETORES E AGENTES DE SEGUROS, DE PLANOS DE PREVIDENCIA COMPLEMENTAR E DE SAUDE;CORRETORES E AGENTES DE SEGUROS, DE PLANOS DE PREVIDENCIA COMPLEMENTAR E DE SAUDE;CORRETORES E AGENTES DE SEGUROS, DE PLANOS DE PREVIDENCIA COMPLEMENTAR E DE SAUDE;CORRETORES E AGENTES DE SEGUROS, DE PLANOS DE PREVIDENCIA COMPLEMENTAR E DE SAUDE;BENS DE CAPITAL;ATIVIDADES AUXILIARES DOS SERVIÇOS FINANCEIROS, SEGUROS, PREVIDÊNCIA COMPLEMENTAR E PLANOS DE SAÚDE
422;4;4712100;4759899;4772500;4789005;4789099;COMERCIO VAREJISTA DE COSMETICOS, PRODUTOS DE PERFUMARIA E DE HIGIENE PESSOAL;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  MINIMERCADOS, MERCEARIAS E ARMAZENS;COMERCIO VAREJISTA DE OUTROS ARTIGOS DE USO PESSOAL E DOMESTICO NAO ESPECIFICADOS ANTERIORMENTE;COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE;COMERCIO VAREJISTA DE PRODUTOS SANEANTES DOMISSANITARIOS;VAREJO;COMÉRCIO VAREJISTA
461;0;4120400;4120400;4120400;4120400;4120400;CONSTRUCAO DE EDIFICIOS;CONSTRUCAO DE EDIFICIOS;CONSTRUCAO DE EDIFICIOS;CONSTRUCAO DE EDIFICIOS;CONSTRUCAO DE EDIFICIOS;INDÚSTRIA DA CONSTRUÇÃO;CONSTRUÇÃO DE EDIFÍCIOS
1082;3;4742300;4744001;4744003;4744003;4744003;COMERCIO VAREJISTA DE FERRAGENS E FERRAMENTAS;COMERCIO VAREJISTA DE MATERIAIS HIDRAULICOS;COMERCIO VAREJISTA DE MATERIAL ELETRICO;COMERCIO VAREJISTA DE MATERIAL ELETRICO;COMERCIO VAREJISTA DE MATERIAL ELETRICO;VAREJO;COMÉRCIO VAREJISTA
2986;1;6399200;7830200;7830200;7830200;7830200;FORNECIMENTO E GESTAO DE RECURSOS HUMANOS PARA TERCEIROS;OUTRAS ATIVIDADES DE PRESTACAO DE SERVICOS DE INFORMACAO NAO ESPECIFICADAS ANTERIORMENTE;OUTRAS ATIVIDADES DE PRESTACAO DE SERVICOS DE INFORMACAO NAO ESPECIFICADAS ANTERIORMENTE;OUTRAS ATIVIDADES DE PRESTACAO DE SERVICOS DE INFORMACAO NAO ESPECIFICADAS ANTERIORMENTE;OUTRAS ATIVIDADES DE PRESTACAO DE SERVICOS DE INFORMACAO NAO ESPECIFICADAS ANTERIORMENTE;INDÚSTRIA DIGITAL;ATIVIDADES DE PRESTAÇÃO DE SERVIÇOS DE INFORMAÇÃO
249;0;0113000;0113000;0113000;0113000;0113000;CULTIVO DE CANADEACUCAR;CULTIVO DE CANADEACUCAR;CULTIVO DE CANADEACUCAR;CULTIVO DE CANADEACUCAR;CULTIVO DE CANADEACUCAR;PRODUTOS DE AGROPECUÁRIA;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS
2630;2;6920601;8211300;8219999;8219999;8219999;ATIVIDADES DE CONTABILIDADE;PREPARACAO DE DOCUMENTOS E SERVICOS ESPECIALIZADOS DE APOIO ADMINISTRATIVO NAO ESPECIFICADOS ANTERIORMENTE;SERVICOS COMBINADOS DE ESCRITORIO E APOIO ADMINISTRATIVO;SERVICOS COMBINADOS DE ESCRITORIO E APOIO ADMINISTRATIVO;SERVICOS COMBINADOS DE ESCRITORIO E APOIO ADMINISTRATIVO;SERVIÇOS PROFISSIONAIS E;ATIVIDADES JURÍDICAS, DE CONTABILIDADE E DE AUDITORIA
1294;4;5320201;7319002;8211300;8219999;9609208;HIGIENE E EMBELEZAMENTO DE ANIMAIS DOMESTICOS;PREPARACAO DE DOCUMENTOS E SERVICOS ESPECIALIZADOS DE APOIO ADMINISTRATIVO NAO ESPECIFICADOS ANTERIORMENTE;PROMOCAO DE VENDAS;SERVICOS COMBINADOS DE ESCRITORIO E APOIO ADMINISTRATIVO;SERVICOS DE MALOTE NAO REALIZADOS PELO CORREIO NACIONAL;TRANSPORTE;CORREIO E OUTRAS ATIVIDADES DE ENTREGA
2285;4;1412602;4724500;4744099;4751200;4929901;COMERCIO VAREJISTA DE HORTIFRUTIGRANJEIROS;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL;COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMATICA;CONFECCAO, SOB MEDIDA, DE PECAS DO VESTUARIO, EXCETO ROUPAS INTIMAS;TRANSPORTE RODOVIARIO COLETIVO DE PASSAGEIROS, SOB REGIME DE FRETAMENTO, MUNICIPAL;BENS DE CONSUMO;CONFECÇÃO DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS
971;2;4712100;4763604;4789001;4789001;4789001;COMERCIO VAREJISTA DE ARTIGOS DE CACA, PESCA E CAMPING;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  MINIMERCADOS, MERCEARIAS E ARMAZENS;COMERCIO VAREJISTA DE SUVENIRES, BIJUTERIAS E ARTESANATOS;COMERCIO VAREJISTA DE SUVENIRES, BIJUTERIAS E ARTESANATOS;COMERCIO VAREJISTA DE SUVENIRES, BIJUTERIAS E ARTESANATOS;VAREJO;COMÉRCIO VAREJISTA
2455;2;4321500;4329199;4330404;4330404;4330404;INSTALACAO E MANUTENCAO ELETRICA;OUTRAS OBRAS DE INSTALACOES EM CONSTRUCOES NAO ESPECIFICADAS ANTERIORMENTE;SERVICOS DE PINTURA DE EDIFICIOS EM GERAL;SERVICOS DE PINTURA DE EDIFICIOS EM GERAL;SERVICOS DE PINTURA DE EDIFICIOS EM GERAL;INDÚSTRIA DA CONSTRUÇÃO;SERVIÇOS ESPECIALIZADOS PARA CONSTRUÇÃO
418;1;4753900;5611203;5611203;5611203;5611203;COMERCIO VAREJISTA ESPECIALIZADO DE ELETRODOMESTICOS E EQUIPAMENTOS DE AUDIO E VIDEO;LANCHONETES, CASAS DE CHA, DE SUCOS E SIMILARES;LANCHONETES, CASAS DE CHA, DE SUCOS E SIMILARES;LANCHONETES, CASAS DE CHA, DE SUCOS E SIMILARES;LANCHONETES, CASAS DE CHA, DE SUCOS E SIMILARES;VAREJO;COMÉRCIO VAREJISTA
2632;4;4616800;4643501;4759899;4781400;4782201;COMERCIO ATACADISTA DE CALCADOS;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;COMERCIO VAREJISTA DE CALCADOS;COMERCIO VAREJISTA DE OUTROS ARTIGOS DE USO PESSOAL E DOMESTICO NAO ESPECIFICADOS ANTERIORMENTE;REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE TEXTEIS, VESTUARIO, CALCADOS E ARTIGOS DE VIAGEM;ATACADO;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS
974;1;4744002;4744005;4744005;4744005;4744005;COMERCIO VAREJISTA DE MADEIRA E ARTEFATOS;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO NAO ESPECIFICADOS ANTERIORMENTE;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO NAO ESPECIFICADOS ANTERIORMENTE;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO NAO ESPECIFICADOS ANTERIORMENTE;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO NAO ESPECIFICADOS ANTERIORMENTE;VAREJO;COMÉRCIO VAREJISTA
717;1;4929902;4929999;4929999;4929999;4929999;OUTROS TRANSPORTES RODOVIARIOS DE PASSAGEIROS NAO ESPECIFICADOS ANTERIORMENTE;TRANSPORTE RODOVIARIO COLETIVO DE PASSAGEIROS, SOB REGIME DE FRETAMENTO, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL;TRANSPORTE RODOVIARIO COLETIVO DE PASSAGEIROS, SOB REGIME DE FRETAMENTO, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL;TRANSPORTE RODOVIARIO COLETIVO DE PASSAGEIROS, SOB REGIME DE FRETAMENTO, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL;TRANSPORTE RODOVIARIO COLETIVO DE PASSAGEIROS, SOB REGIME DE FRETAMENTO, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL;TRANSPORTE;TRANSPORTE TERRESTRE
2622;2;4772500;4781400;4782202;4782202;4782202;COMERCIO VAREJISTA DE ARTIGOS DE VIAGEM;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;COMERCIO VAREJISTA DE COSMETICOS, PRODUTOS DE PERFUMARIA E DE HIGIENE PESSOAL;COMERCIO VAREJISTA DE COSMETICOS, PRODUTOS DE PERFUMARIA E DE HIGIENE PESSOAL;COMERCIO VAREJISTA DE COSMETICOS, PRODUTOS DE PERFUMARIA E DE HIGIENE PESSOAL;VAREJO;COMÉRCIO VAREJISTA
1379;1;3311200;4789099;4789099;4789099;4789099;COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE;MANUTENCAO E REPARACAO DE TANQUES, RESERVATORIOS METALICOS E CALDEIRAS, EXCETO PARA VEICULOS;MANUTENCAO E REPARACAO DE TANQUES, RESERVATORIOS METALICOS E CALDEIRAS, EXCETO PARA VEICULOS;MANUTENCAO E REPARACAO DE TANQUES, RESERVATORIOS METALICOS E CALDEIRAS, EXCETO PARA VEICULOS;MANUTENCAO E REPARACAO DE TANQUES, RESERVATORIOS METALICOS E CALDEIRAS, EXCETO PARA VEICULOS;SERVIÇOS DIVERSOS;MANUTENÇÃO, REPARAÇÃO E INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTO
221;1;7490103;8412400;8412400;8412400;8412400;REGULACAO DAS ATIVIDADES DE SAUDE, EDUCACAO, SERVICOS CULTURAIS E OUTROS SERVICOS SOCIAIS;SERVICOS DE AGRONOMIA E DE CONSULTORIA AS ATIVIDADES AGRICOLAS E PECUARIAS;SERVICOS DE AGRONOMIA E DE CONSULTORIA AS ATIVIDADES AGRICOLAS E PECUARIAS;SERVICOS DE AGRONOMIA E DE CONSULTORIA AS ATIVIDADES AGRICOLAS E PECUARIAS;SERVICOS DE AGRONOMIA E DE CONSULTORIA AS ATIVIDADES AGRICOLAS E PECUARIAS;SERVIÇOS PROFISSIONAIS E;OUTRAS ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS
427;2;4781400;4782202;4789001;4789001;4789001;COMERCIO VAREJISTA DE ARTIGOS DE VIAGEM;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;COMERCIO VAREJISTA DE SUVENIRES, BIJUTERIAS E ARTESANATOS;COMERCIO VAREJISTA DE SUVENIRES, BIJUTERIAS E ARTESANATOS;COMERCIO VAREJISTA DE SUVENIRES, BIJUTERIAS E ARTESANATOS;VAREJO;COMÉRCIO VAREJISTA
2827;1;0111399;0119906;0119906;0119906;0119906;CULTIVO DE MANDIOCA;CULTIVO DE OUTROS CEREAIS NAO ESPECIFICADOS ANTERIORMENTE;CULTIVO DE OUTROS CEREAIS NAO ESPECIFICADOS ANTERIORMENTE;CULTIVO DE OUTROS CEREAIS NAO ESPECIFICADOS ANTERIORMENTE;CULTIVO DE OUTROS CEREAIS NAO ESPECIFICADOS ANTERIORMENTE;PRODUTOS DE AGROPECUÁRIA;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS
872;3;9319199;9430800;9493600;9499500;9499500;ATIVIDADES ASSOCIATIVAS NAO ESPECIFICADAS ANTERIORMENTE;ATIVIDADES DE ASSOCIACOES DE DEFESA DE DIREITOS SOCIAIS;ATIVIDADES DE ORGANIZACOES ASSOCIATIVAS LIGADAS A CULTURA E A ARTE;OUTRAS ATIVIDADES ESPORTIVAS NAO ESPECIFICADAS ANTERIORMENTE;OUTRAS ATIVIDADES ESPORTIVAS NAO ESPECIFICADAS ANTERIORMENTE;SERVIÇOS DIVERSOS;ATIVIDADES ESPORTIVAS E DE RECREAÇÃO E LAZER
