Código Ramo de Atividade;Ordem Ramo de Atividade;Código Ramo de Atividade - Nível 1;Código Ramo de Atividade - Nível 2;Código Ramo de Atividade - Nível 3;Código Ramo de Atividade - Nível 4;Código Ramo de Atividade - Nível 5;Ramo de Atividade - Nível 1;Ramo de Atividade - Nível 2;Ramo de Atividade - Nível 3;Ramo de Atividade - Nível 4;Ramo de Atividade - Nível 5;Ramo de Atividade;Divisão
1122;2;4755502;4763601;4781400;4781400;4781400;COMERCIO VAREJISTA DE ARTIGOS DE ARMARINHO;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;COMERCIO VAREJISTA DE BRINQUEDOS E ARTIGOS RECREATIVOS;COMERCIO VAREJISTA DE BRINQUEDOS E ARTIGOS RECREATIVOS;COMERCIO VAREJISTA DE BRINQUEDOS E ARTIGOS RECREATIVOS;VAREJO;COMÉRCIO VAREJISTA
2403;4;4761003;6202300;7740300;8219999;8599604;COMERCIO VAREJISTA DE ARTIGOS DE PAPELARIA;DESENVOLVIMENTO E LICENCIAMENTO DE PROGRAMAS DE COMPUTADOR CUSTOMIZAVEIS;GESTAO DE ATIVOS INTANGIVEIS NAOFINANCEIROS;PREPARACAO DE DOCUMENTOS E SERVICOS ESPECIALIZADOS DE APOIO ADMINISTRATIVO NAO ESPECIFICADOS ANTERIORMENTE;TREINAMENTO EM DESENVOLVIMENTO PROFISSIONAL E GERENCIAL;VAREJO;COMÉRCIO VAREJISTA
2405;4;4721104;4755502;4755503;4761003;8299707;COMERCIO VAREJISTA DE ARTIGOS DE ARMARINHO;COMERCIO VAREJISTA DE ARTIGOS DE CAMA, MESA E BANHO;COMERCIO VAREJISTA DE ARTIGOS DE PAPELARIA;COMERCIO VAREJISTA DE DOCES, BALAS, BOMBONS E SEMELHANTES;SALAS DE ACESSO A INTERNET;VAREJO;COMÉRCIO VAREJISTA
453;4;1610201;1610202;1622699;3101200;4330402;FABRICACAO DE MOVEIS COM PREDOMINANCIA DE MADEIRA;FABRICACAO DE OUTROS ARTIGOS DE CARPINTARIA PARA CONSTRUCAO;INSTALACAO DE PORTAS, JANELAS, TETOS, DIVISORIAS E ARMARIOS EMBUTIDOS DE QUALQUER MATERIAL;SERRARIAS COM DESDOBRAMENTO DE MADEIRA;SERRARIAS SEM DESDOBRAMENTO DE MADEIRA;BENS DE CONSUMO;FABRICAÇÃO DE PRODUTOS DE MADEIRA
171;0;6204000;6204000;6204000;6204000;6204000;CONSULTORIA EM TECNOLOGIA DA INFORMACAO;CONSULTORIA EM TECNOLOGIA DA INFORMACAO;CONSULTORIA EM TECNOLOGIA DA INFORMACAO;CONSULTORIA EM TECNOLOGIA DA INFORMACAO;CONSULTORIA EM TECNOLOGIA DA INFORMACAO;INDÚSTRIA DIGITAL;ATIVIDADES DOS SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO
1071;2;4729699;4755502;4784900;4784900;4784900;COMERCIO VAREJISTA DE ARTIGOS DE ARMARINHO;COMERCIO VAREJISTA DE GAS LIQUEFEITO DE PETROLEO GLP;COMERCIO VAREJISTA DE PRODUTOS ALIMENTICIOS EM GERAL OU ESPECIALIZADO EM PRODUTOS ALIMENTICIOS NAO ESPECIFICADOS ANTERIORMENTE;COMERCIO VAREJISTA DE PRODUTOS ALIMENTICIOS EM GERAL OU ESPECIALIZADO EM PRODUTOS ALIMENTICIOS NAO ESPECIFICADOS ANTERIORMENTE;COMERCIO VAREJISTA DE PRODUTOS ALIMENTICIOS EM GERAL OU ESPECIALIZADO EM PRODUTOS ALIMENTICIOS NAO ESPECIFICADOS ANTERIORMENTE;VAREJO;COMÉRCIO VAREJISTA
390;1;8122200;8130300;8130300;8130300;8130300;ATIVIDADES PAISAGISTICAS;IMUNIZACAO E CONTROLE DE PRAGAS URBANAS;IMUNIZACAO E CONTROLE DE PRAGAS URBANAS;IMUNIZACAO E CONTROLE DE PRAGAS URBANAS;IMUNIZACAO E CONTROLE DE PRAGAS URBANAS;SERVIÇOS ADMINISTRATIVOS;SERVIÇOS PARA EDIFÍCIOS E ATIVIDADES PAISAGÍSTICAS
1965;2;3313999;4785799;9529199;9529199;9529199;COMERCIO VAREJISTA DE OUTROS ARTIGOS USADOS;MANUTENCAO E REPARACAO DE MAQUINAS, APARELHOS E MATERIAIS ELETRICOS NAO ESPECIFICADOS ANTERIORMENTE;REPARACAO E MANUTENCAO DE OUTROS OBJETOS E EQUIPAMENTOS PESSOAIS E DOMESTICOS NAO ESPECIFICADOS ANTERIORMENTE;REPARACAO E MANUTENCAO DE OUTROS OBJETOS E EQUIPAMENTOS PESSOAIS E DOMESTICOS NAO ESPECIFICADOS ANTERIORMENTE;REPARACAO E MANUTENCAO DE OUTROS OBJETOS E EQUIPAMENTOS PESSOAIS E DOMESTICOS NAO ESPECIFICADOS ANTERIORMENTE;SERVIÇOS DIVERSOS;MANUTENÇÃO, REPARAÇÃO E INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTO
1297;4;4721104;4755502;4763601;4789001;4789099;COMERCIO VAREJISTA DE ARTIGOS DE ARMARINHO;COMERCIO VAREJISTA DE BRINQUEDOS E ARTIGOS RECREATIVOS;COMERCIO VAREJISTA DE DOCES, BALAS, BOMBONS E SEMELHANTES;COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE;COMERCIO VAREJISTA DE SUVENIRES, BIJUTERIAS E ARTESANATOS;VAREJO;COMÉRCIO VAREJISTA
200;0;2542000;2542000;2542000;2542000;2542000;FABRICACAO DE ARTIGOS DE SERRALHERIA, EXCETO ESQUADRIAS;FABRICACAO DE ARTIGOS DE SERRALHERIA, EXCETO ESQUADRIAS;FABRICACAO DE ARTIGOS DE SERRALHERIA, EXCETO ESQUADRIAS;FABRICACAO DE ARTIGOS DE SERRALHERIA, EXCETO ESQUADRIAS;FABRICACAO DE ARTIGOS DE SERRALHERIA, EXCETO ESQUADRIAS;SIDERÚRGICA-METALURGIA;FABRICAÇÃO DE PRODUTOS DE METAL, EXCETO MÁQUINAS E EQUIPAMENTOS
